order_id,timestamp,symbol,entry_price,exit_price,quantity,pnl,percentage_gain,take_profit_price,stop_loss_price,trade_duration_minutes,result
8431786,2025-03-22 14:47:17,BTCUSDT,84320.58,84043.62,0.00100,-0.28,-0.33,84593.19,84240.03,4.97,STOP_LOSS
8432135,2025-03-22 14:47:18,BTCUSDT,84320.59,84043.62,0.01185,-3.28,-0.33,84572.94,84241.03,4.1,STOP_LOSS
8432578,2025-03-22 14:47:19,BTCUSDT,84304.56,84043.62,0.01186,-3.09,-0.31,84483.96,84230.07,3.12,STOP_LOSS
8432869,2025-03-22 14:47:20,BTCUSDT,84319.14,84043.62,0.01185,-3.26,-0.33,84438.99,84241.67,1.94,STOP_LOSS
8433025,2025-03-22 14:47:21,BTCUSDT,84334.66,84043.62,0.01185,-3.45,-0.35,84449.93,84252.27,1.15,STOP_LOSS
8433161,2025-03-22 14:47:22,BTCUSDT,84358.5,84043.62,0.01185,-3.73,-0.37,84502.75,84284.37,0.28,STOP_LOSS
8434935,2025-03-22 14:56:51,BTCUSDT,84400.59,84342.73,0.01184,-0.69,-0.07,84563.36,84345.12,2.76,STOP_LOSS
8435515,2025-03-22 15:02:49,BTCUSDT,84341.97,84375.79,0.01185,0.4,0.04,84372.49,84283.81,5.71,TAKE_PROFIT
8436659,2025-03-22 15:02:50,BTCUSDT,84345.09,84375.79,0.01185,0.36,0.04,84374.74,84279.53,2.75,TAKE_PROFIT
8437102,2025-03-22 15:07:35,BTCUSDT,84360.39,84444.22,0.01185,0.99,0.1,84437.71,84303.72,6.48,TAKE_PROFIT
8433527,2025-03-22 15:10:50,BTCUSDT,84341.17,84460.3,0.01185,1.41,0.14,84460.24,84269.02,21.73,TAKE_PROFIT
8433781,2025-03-22 15:11:00,BTCUSDT,84348.2,84466.9,0.01185,1.41,0.14,84461.88,84282.9,20.84,TAKE_PROFIT
8435329,2025-03-22 15:11:00,BTCUSDT,84369.01,84466.9,0.01185,1.16,0.12,84463.22,84304.25,14.93,TAKE_PROFIT
8433418,2025-03-22 15:11:33,BTCUSDT,84341.18,84490.01,0.01185,1.76,0.18,84486.03,84270.22,23.41,TAKE_PROFIT
8433943,2025-03-22 15:11:34,BTCUSDT,84356.68,84490.01,0.01185,1.58,0.16,84485.28,84290.92,20.47,TAKE_PROFIT
8435759,2025-03-22 15:11:34,BTCUSDT,84341.18,84490.01,0.01185,1.76,0.18,84469.83,84276.85,13.48,TAKE_PROFIT
8439480,2025-03-22 15:11:38,BTCUSDT,84459.99,84362.09,0.01183,-1.16,-0.12,84622.72,84394.72,3.54,STOP_LOSS
8439733,2025-03-22 15:11:39,BTCUSDT,84458.59,84362.09,0.01184,-1.14,-0.11,84708.03,84403.3,2.55,STOP_LOSS
8439876,2025-03-22 15:11:39,BTCUSDT,84456.2,84362.09,0.01184,-1.11,-0.11,84719.18,84389.74,1.55,STOP_LOSS
8440087,2025-03-22 15:11:40,BTCUSDT,84489.99,84362.09,0.01183,-1.51,-0.15,84733.49,84441.26,0.59,STOP_LOSS
8436251,2025-03-22 15:13:18,BTCUSDT,84352.6,84510.06,0.01185,1.87,0.19,84493.28,84282.26,14.15,TAKE_PROFIT
8439018,2025-03-22 15:13:19,BTCUSDT,84389.51,84510.06,0.01184,1.43,0.14,84497.16,84341.43,7.19,TAKE_PROFIT
8434194,2025-03-22 15:13:22,BTCUSDT,84361.15,84525.35,0.01185,1.95,0.19,84518.44,84299.84,21.29,TAKE_PROFIT
8434595,2025-03-22 15:13:23,BTCUSDT,84353.5,84525.35,0.01185,2.04,0.2,84510.85,84292.45,20.28,TAKE_PROFIT
8435093,2025-03-22 15:13:24,BTCUSDT,84369.01,84525.35,0.01185,1.85,0.19,84511.72,84306.08,18.3,TAKE_PROFIT
8441142,2025-03-22 15:18:40,BTCUSDT,84505.74,84461.93,0.01183,-0.52,-0.05,84595.03,84468.37,1.6,STOP_LOSS
8440958,2025-03-22 15:19:01,BTCUSDT,84491.85,84450.0,0.01183,-0.5,-0.05,84581.4,84453.16,2.78,STOP_LOSS
8442319,2025-03-22 15:26:58,BTCUSDT,84437.64,84378.03,0.01184,-0.71,-0.07,84528.85,84392.03,5.89,STOP_LOSS
8442719,2025-03-22 15:26:58,BTCUSDT,84452.48,84378.03,0.01184,-0.88,-0.09,84562.54,84397.45,4.84,STOP_LOSS
8441552,2025-03-22 15:29:50,BTCUSDT,84433.96,84360.0,0.01184,-0.88,-0.09,84465.04,84375.55,10.75,STOP_LOSS
8441990,2025-03-22 15:29:50,BTCUSDT,84433.93,84360.0,0.01184,-0.88,-0.09,84555.62,84373.08,9.76,STOP_LOSS
8444079,2025-03-22 15:36:13,BTCUSDT,84360.01,84396.31,0.01185,0.43,0.04,84392.46,84275.63,6.08,TAKE_PROFIT
8443469,2025-03-22 15:46:52,BTCUSDT,84378.04,84416.0,0.01185,0.45,0.04,84405.39,84297.27,19.78,TAKE_PROFIT
8443797,2025-03-22 15:46:52,BTCUSDT,84389.89,84416.0,0.01184,0.31,0.03,84406.87,84318.81,18.79,TAKE_PROFIT
8443875,2025-03-22 15:46:52,BTCUSDT,84378.79,84416.0,0.01185,0.44,0.04,84409.62,84304.07,17.8,TAKE_PROFIT
8442861,2025-03-22 15:47:53,BTCUSDT,84416.63,84423.18,0.01184,0.08,0.01,84421.7,84353.97,24.81,TAKE_PROFIT
8442983,2025-03-22 15:49:24,BTCUSDT,84416.62,84426.07,0.01184,0.11,0.01,84424.2,84345.28,25.35,TAKE_PROFIT
